,PostalCode,Venue,Category,City,Latitude,Longitude
207,M9C,Pizza Hut,Pizza Place,Etobicoke,43.64184465713319,-79.5765560607079
208,M9C,Cafe Sympatico,Café,Etobicoke,43.641820470953256,-79.57672066335874
209,M9C,Hasty Market,Convenience Store,Toronto,43.641870640831144,-79.5763695106309
210,M1E,Chick-N-Joy,Fried Chicken Joint,Scarborough,43.76875171771289,-79.18798174616069
211,M1E,Little Caesars Pizza,Pizza Place,Scarborough,43.76904597684398,-79.18438601716002
212,M1E,Bulk Barn,Food & Drink Shop,West Hill,43.77134173380578,-79.1843408346176
213,M1E,LCBO,Liquor Store,Toronto,43.77146181777272,-79.18438374996185
214,M1E,Swiss Chalet Rotisserie & Grill,Pizza Place,Scarborough,43.76769708292701,-79.1899135003439
215,M1E,Booster Juice,Smoothie Shop,Scarborough,43.77066813,-79.18415042
216,M1E,Starbucks,Coffee Shop,Toronto,43.77036664216879,-79.1863129088603
217,M1E,The Beer Store,Beer Store,Scarborough,43.769793,-79.1875054
218,M1E,Shoppers Drug Mart,Pharmacy,Scarborough,43.76999251553107,-79.18554506013959
219,M1E,KFC,Fast Food Restaurant,Scarborough,43.76898399423786,-79.1856287262852
220,M1E,TD Canada Trust,Bank,Scarborough,43.770997118312,-79.18599759390418
221,M1E,Dollarama,Discount Store,Toronto,43.77047291881165,-79.18419989190978
222,M1E,McDonald's,Fast Food Restaurant,Scarborough,43.768347177966554,-79.18836835499098
223,M1E,Subway,Sandwich Place,Toronto,43.771913360495205,-79.18547467639696
224,M1E,Shoeless Joe's,Sports Bar,Scarborough,43.768891580866935,-79.18585091829299
225,M1E,Pizza Hut,Pizza Place,Scarborough,43.770455,-79.1861572
226,M1E,Pizza Pizza,Pizza Place,Scarborough,43.7684131598454,-79.18792963027954
227,M1E,Tim Hortons,Coffee Shop,Scarborough,43.7698668,-79.1868834
228,M1E,Food Basics,Supermarket,Scarborough,43.77001337309147,-79.18553952416049
229,M1E,Taste Of Greek Cuisine,Greek Restaurant,Toronto,43.768259,-79.189608
230,M1E,Joseph's No Frills,Grocery Store,Scarborough,43.76912463269713,-79.18732052005362
231,M1E,Bus Stop: 54 & 116 & 86D,Bus Line,Toronto,43.76833568239687,-79.18627738952637
232,M1E,First Choice Haircutters,Salon / Barbershop,Scarborough,43.76921867036633,-79.1845377449764
233,M1E,Lawrence Ave E & Kingston Rd,Intersection,Toronto,43.767704,-79.18949
234,M1E,Lick's Homeburgers,Burger Joint,Toronto,43.77167716068725,-79.18538033022018
235,M1E,National Thrift,Thrift / Vintage Store,Toronto,43.76799932703117,-79.19024597235247
236,M1E,GameStop,Video Game Store,Scarborough,43.77035204879336,-79.18525404725565
